,id,retweet_count,favorite_count
298,841680585030541313,8607,27509
299,841439858740625411,4094,13585
300,841320156043304961,6008,21163
301,841314665196081154,5228,17057
302,841077006473256960,5886,24612
303,840761248237133825,1945,0
304,840728873075638272,17970,0
305,840698636975636481,3,196
306,840696689258311684,1099,13225
307,840632337062862849,1945,9650
308,840370681858686976,5063,17706
309,840268004936019968,6378,20715
310,839990271299457024,2550,14449
311,839549326359670784,8656,29614
312,839290600511926273,158,0
313,839239871831150596,7300,29294
314,838952994649550848,4443,21101
315,838921590096166913,2312,12033
316,838916489579200512,37,0
317,838831947270979586,12368,0
318,838561493054533637,1481,11757
319,838476387338051585,5386,24351
320,838201503651401729,11287,0
321,838150277551247360,361,1805
322,838085839343206401,0,149
323,838083903487373313,3511,18971
324,837820167694528512,8780,36873
325,837482249356513284,490,4150
326,837471256429613056,2579,13816
327,837366284874571778,5911,22779
328,837110210464448512,2687,17270
329,837012587749474308,85,0
330,836989968035819520,2566,13720
331,836753516572119041,5156,20758
332,836677758902222849,2478,13594
333,836648853927522308,616,0
334,836397794269200385,30786,0
335,836380477523124226,3284,15872
336,836260088725786625,4781,22905
337,836001077879255040,4840,20649
338,835685285446955009,9165,0
339,835574547218894849,4063,19214
340,835536468978302976,1904,0
341,835309094223372289,23556,0
342,835297930240217089,3338,17671
343,835264098648616962,1904,8396
344,835246439529840640,81,2239
345,835172783151792128,6426,28200
346,835152434251116546,3389,24258
347,834931633769889797,1848,11701
348,834786237630337024,6077,22722
349,834574053763584002,2834,14817
350,834477809192075265,11981,0
351,834458053273591808,1873,10390
352,834209720923721728,5377,22291
353,834167344700198914,4065,17003
354,834089966724603904,2384,10850
355,834086379323871233,2481,14122
356,833863086058651648,2685,14490
357,833826103416520705,3850,16561
358,833732339549220864,244,0
359,833722901757046785,3583,22343
360,833479644947025920,2314,16063
361,833124694597443584,5435,21872
362,832998151111966721,2487,14385
363,832769181346996225,44,0
364,832757312314028032,4054,18223
365,832682457690300417,3312,12867
366,832645525019123713,582,3154
367,832636094638288896,3160,17175
368,832397543355072512,2502,12958
369,832369877331693569,3592,18575
370,832273440279240704,2619,12233
371,832215909146226688,6937,0
372,832215726631055365,10503,0
373,832088576586297345,2,72
374,832040443403784192,10927,0
375,832032802820481025,5240,19312
376,831939777352105988,6913,26015
377,831926988323639298,38,368
378,831911600680497154,7338,29991
379,831670449226514432,2035,11334
380,831650051525054464,2192,7789
381,831552930092285952,2585,9766
382,831322785565769729,1717,9940
383,831315979191906304,1251,7029
384,831309418084069378,2738,12682
385,831262627380748289,2313,12914
386,830956169170665475,1705,8637
387,830583320585068544,18973,72583
388,830173239259324417,6423,0
389,830097400375152640,3393,10671
390,829878982036299777,5650,0
391,829861396166877184,2210,13291
392,829501995190984704,11981,34461
393,829449946868879360,2293,11394
394,829374341691346946,10518,37645
395,829141528400556032,8360,26636
396,829011960981237760,18290,57546
397,828801551087042563,3831,0
398,828770345708580865,6623,27773
399,828708714936930305,12640,39783
400,828650029636317184,1511,10352
401,828409743546925057,1289,6832
402,828408677031882754,1444,8302
403,828381636999917570,2497,13713
404,828376505180889089,1195,8029
405,828372645993398273,3290,13604
406,828361771580813312,192,2378
407,828046555563323392,3210,12801
408,828011680017821696,2406,11271
409,827933404142436356,5893,21923
410,827653905312006145,3376,16793
411,827600520311402496,1062,8061
412,827324948884643840,3438,17283
413,827199976799354881,2525,11527
414,826958653328592898,5650,23481
415,826848821049180160,11616,39823
416,826615380357632002,4443,0
417,826598799820865537,289,5572
418,826598365270007810,2653,10978
419,826476773533745153,4735,20052
420,826240494070030336,2921,14441
421,826204788643753985,1059,5298
422,826115272272650244,3542,17089
423,825876512159186944,2109,11383
424,825829644528148480,2809,13864
425,825535076884762624,19418,56694
426,825147591692263424,5166,19960
427,825120256414846976,1455,0
428,825026590719483904,1455,6928
429,824796380199809024,6195,0
430,824775126675836928,3988,16319
431,824663926340194305,1959,10977
432,824325613288833024,11691,12842
433,824297048279236611,4375,16406
434,824025158776213504,671,5196
435,823939628516474880,3065,11615
436,823719002937630720,12739,0
437,823699002998870016,2726,13688
438,823581115634085888,2994,14222
439,823333489516937216,30,766
440,823322678127919110,4554,17209
441,823269594223824897,11175,0
442,822975315408461824,3889,18905
443,822872901745569793,49742,143983
444,822859134160621569,2582,14426
445,822647212903690241,7251,0
446,822610361945911296,3355,16135
447,822489057087389700,7251,19848
448,822462944365645825,16798,31366
449,822244816520155136,11175,38379
450,822163064745328640,5465,0
451,821886076407029760,2647,12422
452,821813639212650496,3775,0
453,821765923262631936,1874,9222
454,821522889702862852,2000,8761
455,821421320206483457,6341,0
456,821407182352777218,4952,12916
457,821153421864615936,10,275
458,821149554670182400,2278,9574
459,821107785811234820,2425,10518
460,821044531881721856,2589,13855
461,820837357901512704,7591,0
462,820749716845686786,11287,34562
463,820690176645140481,3654,13384
464,820494788566847489,639,0
465,820446719150292993,2926,0
466,820314633777061888,639,3662
467,820078625395449857,7122,21688
468,820013781606658049,1339,0
469,819952236453363712,1339,5840
470,819924195358416896,5505,14109
471,819711362133872643,3552,14733
472,819588359383371776,2232,10475
473,819347104292290561,1362,7913
474,819238181065359361,454,2511
475,819227688460238848,7591,25326
476,819015337530290176,41478,0
477,819015331746349057,21407,0
478,819006400881917954,21407,49367
479,819004803107983360,41478,94392
480,818646164899774465,23654,0
481,818627210458333184,8427,24309
482,818614493328580609,2928,10822
483,818588835076603904,7004,0
484,818536468981415936,2813,11982
485,818307523543449600,9210,0
486,818259473185828864,2581,12055
487,818145370475810820,2952,13508
488,817908911860748288,895,5296
489,817827839487737858,30786,56933
490,817777686764523521,3031,11753
491,817536400337801217,3450,12947
492,817502432452313088,3851,0
493,817423860136083457,17121,37681
494,817415592588222464,1100,6170
495,817181837579653120,9698,0
496,817171292965273600,2282,9573
497,817120970343411712,2964,13225
498,817056546584727552,1882,9406
499,816829038950027264,5381,0
500,816816676327063552,2320,10953
501,816697700272001025,2496,10774
502,816450570814898180,9210,33559
503,816336735214911488,2230,9448
504,816091915477250048,2452,9799
505,816062466425819140,1189,0
506,816014286006976512,6051,0
507,815990720817401858,1189,5483
508,815966073409433600,9698,24743
509,815745968457060357,4700,0
510,815736392542261248,2578,10800
511,815639385530101762,1875,9047
512,815390420867969024,4320,11337
513,814986499976527872,1480,8382
514,814638523311648768,3080,12385
515,814578408554463233,6636,0
516,814530161257443328,2111,9531
517,814153002265309185,9908,31604
518,813944609378369540,3677,0
519,813910438903693312,2147,10216
520,813812741911748608,15963,39892
521,813800681631023104,2015,9184
522,813217897535406080,8303,20533
523,813202720496779264,2053,10079
524,813187593374461952,4970,21826
525,813172488309972993,2192,10269
526,813157409116065792,2519,8497
527,813142292504645637,2675,9252
528,813130366689148928,502,4906
529,813127251579564032,3583,13074
530,813112105746448384,3158,11368
531,813096984823349248,4127,11552
532,813081950185472002,3155,10857
533,813066809284972545,2223,8749
534,813051746834595840,8335,23021
535,812781120811126785,2170,8312
536,812747805718642688,7933,0
537,812709060537683968,1641,7290
538,812503143955202048,1400,6700
539,812466873996607488,2192,8803
540,812372279581671427,4187,15059
541,811985624773361665,1603,8009
542,811744202451197953,1839,8309
543,811647686436880384,848,6134
544,811627233043480576,3583,14100
545,811386762094317568,7296,22992
546,810984652412424192,1627,5866
547,810896069567610880,2044,9974
548,810657578271330305,3009,12061
549,810284430598270976,13081,39110
550,810254108431155201,3831,16177
551,809920764300447744,4443,17044
552,809808892968534016,5597,0
553,809448704142938112,1671,7630
554,809220051211603969,6423,21958
555,809084759137812480,3990,14515
556,808838249661788160,3464,11126
557,808733504066486276,2464,8700
558,808501579447930884,2956,12434
559,808344865868283904,23654,46736
560,808134635716833280,6822,0
561,808106460588765185,2479,9598
562,808001312164028416,4022,13840
563,807621403335917568,4198,16055
564,807106840509214720,61890,123884
565,807059379405148160,8369,0
566,807010152071229440,4345,14357
567,806629075125202948,40002,82973
568,806620845233815552,6300,0
569,806576416489959424,2198,5314
570,806542213899489280,2714,11245
571,806242860592926720,13344,0
572,806219024703037440,1369,7060
573,805958939288408065,6124,0
574,805932879469572096,2168,9097
575,805826884734976000,2089,7255
576,805823200554876929,9209,0
577,805520635690676224,1885,6307
578,805487436403003392,2884,9664
579,805207613751304193,1929,8577
580,804738756058218496,4390,15152
581,804475857670639616,2308,6793
582,804413760345620481,3664,0
583,804026241225523202,18546,49190
584,803773340896923648,3156,11081
585,803692223237865472,8519,0
586,803638050916102144,4737,12113
587,803380650405482500,2131,8521
588,803321560782307329,6102,0
589,803276597545603072,2821,11076
590,802952499103731712,2288,9967
591,802624713319034886,3340,0
592,802600418706604034,1678,7863
593,802572683846291456,2869,9855
594,802323869084381190,6680,17909
595,802265048156610565,1547,6954
596,802239329049477120,2989,10003
597,802185808107208704,310,0
598,801958328846974976,1953,8506
599,801854953262350336,268,1938
600,801538201127157760,2350,9035
601,801285448605831168,946,6705
602,801167903437357056,6822,27055
603,801127390143516673,4548,0
604,801115127852503040,2382,8895
605,800859414831898624,111,768
606,800855607700029440,1861,0
607,800751577355128832,3162,11575
608,800513324630806528,3431,14505
609,800459316964663297,2446,10413
610,800443802682937345,4946,0
611,800388270626521089,3194,12305
612,800188575492947969,4499,0
613,800141422401830912,2926,16899
614,800018252395122689,15071,31380
615,799774291445383169,5379,0
616,799757965289017345,2466,9285
617,799422933579902976,2180,8866
618,799308762079035393,6349,0
619,799297110730567681,3176,10945
620,799063482566066176,2812,8944
621,798933969379225600,5114,14541
622,798925684722855936,1639,8191
623,798705661114773508,7559,0
624,798701998996647937,8942,0
625,798697898615730177,7466,0
626,798694562394996736,5703,0
627,798686750113755136,2657,0
628,798682547630837760,5422,0
629,798673117451325440,6375,0
630,798665375516884993,4443,0
631,798644042770751489,2115,0
632,798628517273620480,2240,0
633,798585098161549313,6527,0
634,798576900688019456,6752,0
635,798340744599797760,3853,0
636,798209839306514432,2910,11427
637,797971864723324932,3591,12866
638,797545162159308800,5541,16022
639,797236660651966464,7576,22078
640,797165961484890113,32,254
641,796904159865868288,10216,0
642,796865951799083009,2165,8462
643,796759840936919040,3508,13117
644,796563435802726400,8377,0
645,796484825502875648,2014,8378
646,796387464403357696,4757,12175
647,796177847564038144,16355,0
648,796149749086875649,16355,35762
649,796125600683540480,2043,5461
650,796116448414461957,2764,10027
651,796080075804475393,2644,9335
652,796031486298386433,4225,11927
653,795464331001561088,27247,55060
654,795400264262053889,3267,11160
655,795076730285391872,6195,17932
656,794983741416415232,3858,0
657,794926597468000259,2649,11353
658,794355576146903043,11786,0
659,794332329137291264,3027,10567
660,794205286408003585,3811,10175
661,793962221541933056,5597,18636
662,793845145112371200,2145,10173
663,793614319594401792,3592,0
664,793601777308463104,1870,8819
665,793500921481273345,2724,11807
666,793286476301799424,10503,27214
667,793271401113350145,2698,9554
668,793256262322548741,9530,22071
669,793241302385262592,3743,11636
670,793226087023144960,3279,10867
671,793210959003287553,3233,9873
672,793195938047070209,6415,16868
673,793180763617361921,2266,7641
674,793165685325201412,3184,10379
675,793150605191548928,1956,6815
676,793135492858580992,2842,7126
677,793120401413079041,4476,14017
678,792913359805018113,4624,15857
679,792883833364439040,4884,12503
680,792773781206999040,1924,8110
681,792394556390137856,4907,14938
682,792050063153438720,2053,7936
683,791821351946420224,24081,0
684,791784077045166082,11065,0
685,791780927877898241,4352,0
686,791774931465953280,25387,49751
687,791672322847637504,3592,12983
688,791406955684368384,4700,14507
689,791312159183634433,2905,9714
690,791026214425268224,4730,0
691,790987426131050500,2440,10946
692,790946055508652032,5381,18343
693,790723298204217344,2654,0
694,790698755171364864,2170,9067
695,790581949425475584,8178,22847
696,790337589677002753,2134,8645
697,790277117346975746,3677,13874
698,790227638568808452,4109,0
699,789986466051088384,2654,10248
700,789960241177853952,4756,0
701,789903600034189313,4734,11494
702,789628658055020548,2037,8335
703,789599242079838210,2225,7518
704,789530877013393408,3858,12998
705,789314372632018944,2627,9506
706,789280767834746880,5645,0
707,789268448748703744,2959,10070
708,789137962068021249,3189,10728
709,788908386943430656,14177,30240
710,788765914992902144,11786,30330
711,788552643979468800,8248,0
712,788412144018661376,6070,17243
713,788178268662984705,2437,7995
714,788150585577050112,1486,6800
715,788070120937619456,3893,0
716,788039637453406209,1508,6780
717,787810552592695296,3485,9594
718,787717603741622272,3180,11289
719,787397959788929025,3231,11965
720,787322443945877504,1993,8608
721,787111942498508800,7642,0
722,786963064373534720,9165,29339
723,786729988674449408,2769,0
724,786709082849828864,6937,20051
725,786664955043049472,2941,11793
726,786595970293370880,3535,10374
727,786363235746385920,4000,12041
728,786286427768250368,3272,8813
729,786233965241827333,5465,16946
730,786051337297522688,176,1590
731,786036967502913536,8058,0
732,785927819176054784,3587,12541
733,785872687017132033,2085,7374
734,785639753186217984,2522,8609
735,785533386513321988,2297,10056
736,785515384317313025,1447,6727
737,785264754247995392,1868,8025
738,785170936622350336,5547,13349
739,784826020293709826,3664,11189
740,784517518371221505,2894,9902
741,784431430411685888,1459,6258
742,784183165795655680,9209,22205
743,784057939640352768,12739,33018
744,783839966405230592,12368,33235
745,783821107061198850,2235,8118
746,783695101801398276,3667,11511
747,783466772167098368,2564,9352
748,783391753726550016,6306,18646
749,783347506784731136,6408,0
750,783334639985389568,13344,32243
751,783085703974514689,2519,8978
752,782969140009107456,8369,26614
753,782747134529531904,1577,8216
754,782722598790725632,6124,19012
755,782598640137187329,2147,8591
756,782305867769217024,6341,18384
757,782021823840026624,7116,0
758,781955203444699136,3836,12213
759,781661882474196992,3086,11495
760,781655249211752448,1270,4409
761,781524693396357120,6300,22871
762,781308096455073793,2903,7868
763,781251288990355457,2397,9312
764,781163403222056960,3099,10750
765,780931614150983680,8377,23851
766,780858289093574656,2271,7924
767,780800785462489090,1472,6073
768,780601303617732608,3775,13332
769,780543529827336192,1980,6946
770,780496263422808064,4245,0
771,780476555013349377,135,0
772,780459368902959104,1207,5810
773,780192070812196864,2538,9587
774,780092040432480260,2613,0
775,780074436359819264,5690,13531
776,779834332596887552,8058,20996
777,779377524342161408,3541,9712
778,779124354206535695,20932,0
779,779123168116150273,4145,13005
780,779056095788752897,5133,16290
781,778990705243029504,8289,22041
782,778774459159379968,11331,0
783,778764940568104960,417,946
784,778748913645780993,1525,7599
785,778650543019483137,1695,6363
786,778624900596654080,1144,5117
787,778408200802557953,4931,14971
788,778396591732486144,13925,0
789,778383385161035776,1251,6438
790,778286810187399168,3763,11425
791,778039087836069888,3001,9321
792,778027034220126208,1846,7222
793,777953400541634568,4007,0
794,777885040357281792,1859,6986
795,777684233540206592,3340,12357
796,777641927919427584,4843,0
797,777621514455814149,2832,9625
798,777189768882946048,4917,15732
799,776819012571455488,15575,0
800,776813020089548800,1378,5376
801,776477788987613185,3187,9760
802,776249906839351296,10438,0
803,776218204058357768,18135,32897
804,776201521193218049,2858,10550
805,776113305656188928,4946,12931
806,776088319444877312,175,2016
807,775898661951791106,17286,0
808,775842724423557120,3046,12870
809,775733305207554048,4548,15236
810,775729183532220416,5209,14185
811,775364825476165632,3393,8192
812,775350846108426240,4452,11161
813,775085132600442880,5379,17068
814,774757898236878852,1996,9369
815,774639387460112384,1975,7397
816,774314403806253056,6349,23887
817,773985732834758656,4397,11778
818,773922284943896577,1954,7012
819,773704687002451968,1848,7230
820,773670353721753600,1470,5869
821,773547596996571136,7004,24211
822,773336787167145985,5795,0
823,773308824254029826,8491,25497
824,773247561583001600,3632,10275
825,773191612633579521,4652,10954
826,772877495989305348,4418,9420
827,772826264096874500,2631,8749
828,772615324260794368,3828,0
829,772581559778025472,1930,7112
830,772193107915964416,1571,6590
831,772152991789019136,1276,4133
832,772117678702071809,831,4107
833,772114945936949249,536,2972
834,772102971039580160,1048,4397
835,771908950375665664,2136,7209
836,771770456517009408,3853,13187
837,771500966810099713,2961,9058
838,771380798096281600,5795,11584
839,771171053431250945,8552,0
840,771136648247640064,3295,10097
841,771102124360998913,1626,6812
842,771014301343748096,1878,7558
843,771004394259247104,249,0
844,770787852854652928,1385,5433
845,770772759874076672,1593,5691
846,770743923962707968,51515,0
847,770655142660169732,1975,8033
848,770414278348247044,2337,6897
849,770293558247038976,1683,6831
850,770093767776997377,3442,0
851,770069151037685760,2604,8289
852,769940425801170949,10927,34500
853,769695466921623552,1891,7017
854,769335591808995329,8691,0
855,769212283578875904,1933,5916
856,768970937022709760,7409,15801
857,768909767477751808,3073,0
858,768855141948723200,1018,4600
859,768609597686943744,1364,4519
860,768596291618299904,1446,5524
861,768554158521745409,6582,0
862,768473857036525572,3880,14900
863,768193404517830656,4007,11969
864,767884188863397888,1596,5224
865,767754930266464257,6102,17569
866,767500508068192258,2641,8193
867,767191397493538821,4317,13464
868,767122157629476866,3213,11091
869,766864461642756096,6397,0
870,766793450729734144,1542,5573
871,766714921925144576,432,2842
872,766693177336135680,898,4434
873,766423258543644672,1795,6592
874,766313316352462849,2128,7415
875,766078092750233600,2922,0
876,766069199026450432,989,4695
877,766008592277377025,563,4089
878,765719909049503744,2431,7912
879,765669560888528897,1380,5676
880,765395769549590528,3086,20332
881,765371061932261376,2432,7756
882,765222098633691136,3828,12726
883,764857477905154048,1992,7012
884,764259802650378240,1717,6629
885,763956972077010945,61,802
886,763837565564780549,4730,13841
887,763183847194451968,1673,5940
888,763167063695355904,3421,0
889,763103485927849985,2560,8045
890,762699858130116608,4109,13346
891,762471784394268675,7405,12382
892,762464539388485633,4756,11349
893,762316489655476224,1274,5283
894,762035686371364864,17615,34970
895,761976711479193600,2278,5911
896,761750502866649088,4450,0
897,761745352076779520,965,4663
898,761672994376806400,32794,54199
899,761599872357261312,1318,4514
900,761371037149827077,20187,0
901,761334018830917632,1633,5711
902,761292947749015552,1243,4900
903,761227390836215808,1748,5838
904,761004547850530816,3893,12324
905,760893934457552897,1091,4180
906,760656994973933572,2167,7237
907,760641137271070720,1453,5409
908,760539183865880579,4086,8284
909,760521673607086080,1581,4629
910,760290219849637889,12912,29241
911,760252756032651264,978,4299
912,760190180481531904,2035,6245
913,760153949710192640,38,0
914,759943073749200896,2344,6497
915,759923798737051648,6397,16060
916,759846353224826880,2227,7340
917,759793422261743616,2146,6518
918,759566828574212096,23896,0
919,759557299618865152,1321,5135
920,759447681597108224,2769,9299
921,759446261539934208,554,1830
922,759197388317847553,2185,6626
923,759159934323924993,1328,0
924,759099523532779520,4727,15871
925,759047813560868866,2263,7128
926,758854675097526272,1008,3870
927,758828659922702336,4306,12228
928,758740312047005698,1800,6262
929,758474966123810816,1113,4165
930,758467244762497024,2497,5249
931,758405701903519748,2166,5687
932,758355060040593408,1219,3747
933,758099635764359168,11331,21015
934,758041019896193024,428,2963
935,757741869644341248,3647,7523
936,757729163776290825,9153,0
937,757725642876129280,1371,4961
938,757611664640446465,1251,4975
939,757597904299253760,327,0
940,757596066325864448,1190,4753
941,757400162377592832,7644,16536
942,757393109802180609,1972,6369
943,757354760399941633,1598,4933
944,756998049151549440,2234,6843
